~=~=~=MPPT Charge Controller=~=~=~
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
Current limit set to : 0.000
Please, restart the electronic load
The test will initiate in 5 seconds
-0.058 , 0.011 , 0.085 , 8.832,0.2442,2.157,0.355,0.280, 8.204255E+00, 3.801145E-01 , -4.667584E-01 , -2.800283E+00 
0.000 , 0.000 , 0.000 , 8.832,0.2442,2.157,0.355,0.284, 8.168964E+00, 3.885287E-01 , -4.700730E-01 , -2.820167E+00 
-0.096 , 0.000 , -0.023 , 8.736,0.2442,2.133,0.355,0.288, 8.095315E+00, 3.911117E-01 , -4.742758E-01 , -2.845380E+00 
0.000 , 0.000 , 0.000 , 8.736,0.2442,2.133,0.355,0.292, 8.055642E+00, 4.021468E-01 , -4.785939E-01 , -2.871292E+00 
-0.058 , 0.000 , -0.014 , 8.678,0.2442,2.119,0.377,0.296, 7.970738E+00, 4.050345E-01 , -4.852090E-01 , -2.910980E+00 
-0.029 , 0.002 , 0.012 , 8.650,0.2464,2.131,0.377,0.300, 7.914901E+00, 4.129557E-01 , -4.895539E-01 , -2.937043E+00 
-0.010 , 0.020 , 0.170 , 8.640,0.2664,2.302,0.377,0.304, 7.876078E+00, 4.168692E-01 , -4.941242E-01 , -2.964456E+00 
-0.096 , 0.000 , -0.026 , 8.544,0.2664,2.276,0.377,0.308, 7.800335E+00, 4.240561E-01 , -4.984051E-01 , -2.990141E+00 
0.000 , 0.000 , 0.000 , 8.544,0.2664,2.276,0.400,0.312, 7.767262E+00, 4.271647E-01 , -5.014176E-01 , -3.008217E+00 
-0.096 , 0.000 , -0.026 , 8.448,0.2664,2.251,0.377,0.316, 7.696008E+00, 4.338391E-01 , -5.045197E-01 , -3.026827E+00 
0.000 , 0.000 , 0.000 , 8.448,0.2664,2.251,0.400,0.320, 7.661084E+00, 4.377538E-01 , -5.088032E-01 , -3.052524E+00 
0.000 , 0.002 , 0.019 , 8.448,0.2686,2.269,0.400,0.324, 7.587532E+00, 4.425555E-01 , -5.112378E-01 , -3.067130E+00 
-0.096 , 0.020 , 0.141 , 8.352,0.2886,2.410,0.400,0.328, 7.557025E+00, 4.508007E-01 , -5.115571E-01 , -3.069046E+00 
-0.038 , 0.000 , -0.011 , 8.314,0.2886,2.399,0.400,0.332, 7.468597E+00, 4.538508E-01 , -5.061798E-01 , -3.036788E+00 
-0.058 , 0.000 , -0.017 , 8.256,0.2886,2.383,0.400,0.336, 7.456816E+00, 4.640748E-01 , -5.157626E-01 , -3.094278E+00 
-0.010 , 0.000 , -0.003 , 8.246,0.2886,2.380,0.422,0.340, 7.453432E+00, 4.591359E-01 , -5.081843E-01 , -3.048812E+00 
-0.048 , 0.013 , 0.095 , 8.198,0.3019,2.475,0.444,0.344, 7.382443E+00, 4.656441E-01 , -5.152563E-01 , -3.091237E+00 
-0.038 , 0.009 , 0.061 , 8.160,0.3108,2.536,0.422,0.348, 7.372630E+00, 4.643230E-01 , -5.152275E-01 , -3.091069E+00 
-0.058 , 0.000 , -0.018 , 8.102,0.3108,2.518,0.422,0.352, 7.332155E+00, 4.636390E-01 , -5.166182E-01 , -3.099408E+00 
-0.029 , 0.000 , -0.009 , 8.074,0.3108,2.509,0.422,0.356, 7.368963E+00, 4.678226E-01 , -5.156742E-01 , -3.093746E+00 
-0.077 , 0.004 , 0.012 , 7.997,0.3152,2.521,0.422,0.360, 7.303663E+00, 4.734038E-01 , -5.208013E-01 , -3.124506E+00 
-0.029 , 0.002 , 0.009 , 7.968,0.3175,2.530,0.444,0.364, 7.273512E+00, 4.771306E-01 , -5.315699E-01 , -3.189110E+00 
-0.048 , 0.016 , 0.108 , 7.920,0.3330,2.637,0.444,0.368, 7.201585E+00, 4.839144E-01 , -5.339059E-01 , -3.208491E+00 
-0.058 , 0.000 , -0.019 , 7.862,0.3330,2.618,0.422,0.372, 7.168397E+00, 4.869726E-01 , -5.377946E-01 , -3.226455E+00 
-0.010 , 0.000 , -0.003 , 7.853,0.3330,2.615,0.444,0.376, 7.097992E+00, 4.934790E-01 , -5.413574E-01 , -3.247827E+00 
-0.038 , 0.000 , -0.013 , 7.814,0.3330,2.602,0.444,0.380, 7.065963E+00, 4.974484E-01 , -5.433658E-01 , -3.259875E+00 
-0.038 , 0.000 , -0.013 , 7.776,0.3330,2.589,0.466,0.384, 6.995600E+00, 5.027154E-01 , -5.458733E-01 , -3.274921E+00 
-0.096 , 0.013 , 0.070 , 7.680,0.3463,2.660,0.444,0.388, 6.963412E+00, 5.089367E-01 , -5.492691E-01 , -3.295293E+00 
-0.010 , -0.002 , -0.020 , 7.670,0.3441,2.639,0.466,0.392, 6.893869E+00, 5.112517E-01 , -5.505158E-01 , -3.302779E+00 
-0.077 , 0.011 , 0.058 , 7.594,0.3552,2.697,0.466,0.396, 6.859906E+00, 5.214330E-01 , -5.538752E-01 , -3.322933E+00 
-0.010 , 0.000 , -0.003 , 7.584,0.3552,2.694,0.466,0.400, 6.768173E+00, 5.240120E-01 , -5.565882E-01 , -3.339203E+00 
-0.019 , 0.000 , -0.007 , 7.565,0.3552,2.687,0.466,0.404, 6.731026E+00, 5.311398E-01 , -5.583002E-01 , -3.349474E+00 
-0.048 , 0.007 , 0.033 , 7.517,0.3619,2.720,0.466,0.408, 6.729289E+00, 5.276718E-01 , -5.586605E-01 , -3.351639E+00 
-0.038 , 0.009 , 0.053 , 7.478,0.3707,2.773,0.466,0.412, 6.696700E+00, 5.347039E-01 , -5.598867E-01 , -3.358994E+00 
-0.048 , 0.000 , -0.018 , 7.430,0.3707,2.755,0.466,0.416, 6.647255E+00, 5.379733E-01 , -5.616909E-01 , -3.369821E+00 
-0.058 , 0.007 , 0.028 , 7.373,0.3774,2.782,0.511,0.420, 6.596675E+00, 5.440321E-01 , -5.642374E-01 , -3.385096E+00 
0.000 , 0.000 , 0.000 , 7.373,0.3774,2.782,0.488,0.424, 6.566038E+00, 5.478203E-01 , -5.663968E-01 , -3.398049E+00 
0.038 , -0.000 , 0.014 , 7.411,0.3774,2.797,0.488,0.428, 6.567644E+00, 5.479341E-01 , -5.654771E-01 , -3.392532E+00 
-0.125 , 0.011 , 0.034 , 7.286,0.3885,2.831,0.422,0.432, 6.446156E+00, 5.518053E-01 , -5.564390E-01 , -3.338316E+00 
-0.048 , 0.002 , -0.003 , 7.238,0.3907,2.828,0.422,0.436, 6.523862E+00, 5.457176E-01 , -5.562336E-01 , -3.337080E+00 
-0.278 , 0.029 , 0.092 , 6.960,0.4196,2.920,0.244,0.440, 6.560042E+00, 5.483405E-01 , -5.563770E-01 , -3.337940E+00 
0.470 , -0.020 , 0.049 , 7.430,0.3996,2.969,0.688,0.444, 6.560687E+00, 5.461542E-01 , -5.561850E-01 , -3.336789E+00 
-0.211 , 0.016 , 0.028 , 7.219,0.4151,2.997,0.377,0.448, 6.524685E+00, 5.447263E-01 , -5.561792E-01 , -3.336757E+00 
